,drop_off_instructions,material_name,material_synonyms,material_title,special_instructions,stream_name,stream_title,Location Category,Type
0,,tricycle,,Tricycle,,reuse,Reuse,Scrap Metals,Waste
1,,milk_jug,", plastic milk bottle",Milk jug,"Remove lids and place in recycling. Did you know? Milk jug lids are accepted for reuse at the ""http://edmonton.ca/reusecentre"">Reuse Centre",wizard_recycling,Recycling,Household,Plastic
2,,boost_drink_bottle,,Boost drink bottle,Remove bottle cap and place separately in recycling.,wizard_recycling_depots,Recycling Depot,None,None
3,,desktop_computer,"Desktop, desk top",Computer,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Computers,Computers
4,,soil,"dirt, compost",Soil,"Small amounts of soil can be set out for regular waste collection (no more than two 20 kg (44 lbs) bags per week). Larger amounts should be taken to an ""http://edmonton.ca/ecostation"" Eco Station or the ""http://edmonton.ca/ewmc"" Edmonton Waste Management Centre. Fees apply.",,,Yard,Waste
5,,k-cup,"Kcups, Kcup, empty tim hortons kcups, keurig single pod recyclable",K-cup,,wizard_garbage,Garbage,None,None
6,,rubber_band,", Plastic bands, Plastic bands",Rubber band,,drop-off_-_reuse_centre,Reuse Centre,None,None
7,,plastic_take-out_container,"plastics, takeout, take-out, prepared meals, take out, delivery, fast food, fast-food, fastfood, take-out containers",Plastic take-out food container,,wizard_recycling,Recycling,Household,Plastic
8,,fabric_softener_container,fabric softner,Fabric softener bottle,Remove cap or lid and place separately in recycling.,wizard_recycling,Recycling,Household,Plastic
9,,blender,,Blender,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
10,,applesauce_pouch,"fruit pouch, baby food pouch, apple sauce pouch",Applesauce pouch,,wizard_garbage,Garbage,None,None
11,,artificial_plants,"artificial flowers, artificial tree",Artificial plants & flowers,,drop-off_-_reuse_centre,Reuse Centre,Waste,Waste
12,,artificial_plants,"artificial flowers, artificial tree",Artificial plants & flowers,,reuse,Reuse,None,None
13,,artificial_plants,"artificial flowers, artificial tree",Artificial plants & flowers,,wizard_garbage,Garbage,None,None
14,,hearing_aid_battery,,Hearing aid battery,,wizard_eco_station_-_household_hazardous_waste,Eco Station - HHW,Alkaline Batteries,Battery
15,,ac_adapter,,AC adapter,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
16,,solar_panel,solar module,Solar panel,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
17,,whipped_cream_can_empty,,Whipped cream can (empty),,wizard_recycling_depots,Recycling Depot,Household,Aluminum
18,,baby_bottle_liner,,Baby bottle liner,,wizard_garbage,Garbage,None,None
19,,bacon_packaging_plastic,Bacon package,Bacon packaging (plastic),,wizard_garbage,Garbage,None,None
20,,bag-in-a-box_wine,"Wine box, boxed wine",Bag-in-a-box (wine),Box and bag do not need to be separated.,bottle_depot,Bottle Depot,plastic,Plastic
21,,bag-in-a-box_wine,"Wine box, boxed wine",Bag-in-a-box (wine),Box and bag do not need to be separated.,wizard_recycling,Recycling,None,None
22,,bag-in-a-box_wine,"Wine box, boxed wine",Bag-in-a-box (wine),Box and bag do not need to be separated.,wizard_recycling_depots,Recycling Depot,None,None
23,,animal_carcass,"pet, cadaver, animal remains, dog, cat, mouse, dead, bird, fish, fish, Dead dog, Dead dog",Animal carcass (small),Please double bag. It keeps your waste collector safe. Carcass must be less than 4ft long and under 20 kg (44 lbs).,wizard_garbage,Garbage,None,None
24,,baby_wipe_container,,Baby wipe container,,wizard_recycling,Recycling,Household,Plastic
25,,calendar,,Calendar,Remove plastic or metal binding.,wizard_recycling_depots,Recycling Depot,Household,paper
26,,speaker,speakers,Speaker,,eco_station_-_electronics_appliances,Eco Station - Electronics & Appliances,Electronics,E-Cycling
